Longitude,Latitude,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,1st_Road_Class,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Accident_Severity
-0.299024,51.551949,2,1,5,12,3,6,30,1,1,1,1,3
-0.303033,51.541126,2,2,4,20,3,6,30,4,2,2,1,3
-0.272839,51.565415,2,1,3,8,3,6,30,1,1,1,1,2
-0.194121,51.538331,2,1,1,7,3,6,30,1,1,2,1,3
-0.232365,51.571017,2,1,5,15,3,1,30,1,2,2,1,3
-0.216726,51.557651,2,1,1,23,3,6,30,4,1,1,1,3
-0.260965,51.551391,4,1,7,21,5,6,30,4,1,1,1,3
-0.218293,51.528629,2,1,5,19,3,6,30,1,1,1,1,3
-0.275486,51.575525,2,1,3,6,3,6,30,4,1,1,1,3
-0.273374,51.53224,2,1,5,6,5,6,30,4,1,1,1,3
-0.292005,51.562188,3,1,2,10,3,6,30,1,1,1,1,3
-0.265775,51.584195,2,2,1,0,5,6,30,4,1,1,1,3
-0.279399,51.563623,2,1,1,18,3,6,30,7,1,1,1,3
-0.295918,51.577172,3,1,3,17,6,6,30,4,1,1,1,3
-0.240057,51.547482,1,1,4,17,5,6,30,4,1,1,1,3
-0.285322,51.594104,2,1,6,11,5,6,30,1,1,1,1,3
-0.254819,51.542397,2,1,6,7,3,6,30,1,1,1,1,3
-0.258655,51.592992,1,1,6,12,3,6,30,1,4,1,1,3
-0.213478,51.544832,2,1,6,18,3,6,30,4,1,1,1,3
-0.245966,51.562588,2,1,6,12,5,1,30,1,2,2,1,3
-0.229318,51.530594,1,1,2,16,3,6,30,1,1,1,1,3
-0.290845,51.577728,1,1,6,14,5,6,30,1,1,2,1,3
-0.22383,51.556769,2,1,5,13,6,6,30,1,1,1,1,3
-0.318128,51.561936,2,1,6,13,3,6,30,1,1,1,1,3
-0.239794,51.56924,2,1,3,14,3,3,40,1,1,1,1,3
-0.267641,51.584492,2,1,3,0,3,6,30,4,1,1,1,3
-0.296446,51.543728,2,1,3,17,6,6,30,4,1,1,1,3
-0.29128,51.550757,2,1,4,15,6,6,30,1,1,1,1,3
-0.226761,51.566706,2,1,1,7,3,6,30,1,1,1,1,3
-0.304973,51.562646,2,1,3,11,3,6,30,1,1,1,1,3
-0.253619,51.558656,2,1,4,9,3,7,30,1,1,1,1,3
-0.243021,51.549145,2,1,6,0,3,6,30,4,1,1,1,3
-0.253561,51.560183,3,1,5,6,3,3,50,4,1,1,1,2
-0.250408,51.563374,2,1,3,10,6,6,30,1,1,2,1,3
-0.221035,51.561853,2,1,6,2,3,6,30,4,1,1,1,3
-0.220959,51.548992,2,2,1,14,3,6,30,1,1,1,1,3
-0.223961,51.564505,1,1,4,22,3,6,30,4,1,1,1,2
-0.27408,51.593579,2,1,4,13,6,2,30,1,1,1,1,3
-0.260783,51.541047,1,1,4,14,3,6,30,1,1,1,1,3
-0.23997,51.549729,2,1,7,17,3,6,30,4,1,1,1,3
-0.284263,51.537885,2,1,5,12,6,6,30,1,1,1,1,3
-0.253581,51.559644,2,2,6,19,3,3,40,4,1,1,1,3
-0.292153,51.5621,2,4,7,0,3,6,30,4,8,2,1,2
-0.229287,51.568542,2,1,2,17,3,6,30,4,1,1,1,3
-0.29223,51.5639,1,1,3,22,5,6,30,4,8,4,1,3
-0.220056,51.549968,1,1,7,5,3,6,30,1,1,2,1,3
-0.276798,51.540833,1,3,2,4,3,3,50,4,1,1,1,3
-0.365356,51.560535,1,1,4,19,3,6,30,4,1,1,1,3
-0.306848,51.585963,2,1,2,7,5,6,30,1,1,2,1,3
-0.221237,51.549266,1,1,4,14,3,6,30,1,1,1,1,3
-0.265826,51.495619,1,1,3,18,4,6,30,7,1,1,1,3
-0.230032,51.530785,2,1,2,19,3,6,30,4,1,1,1,2
-0.326226,51.577159,3,2,4,12,3,6,30,1,1,1,1,3
-0.316067,51.555252,2,1,4,1,3,6,30,4,2,2,1,3
-0.28137,51.549623,2,1,4,15,3,6,30,1,1,1,1,3
-0.27565,51.53686,2,1,6,19,6,1,30,1,1,1,1,3
-0.286736,51.579557,2,1,1,21,5,6,30,4,1,1,1,2
-0.243861,51.553564,3,1,1,22,3,6,30,4,1,1,1,3
-0.21622,51.530036,1,1,3,20,4,6,30,4,1,2,1,2
-0.196626,51.540617,1,1,7,14,3,6,30,1,1,1,1,3
-0.295383,51.552885,1,1,6,10,3,6,30,1,1,1,1,3
-0.294946,51.568436,2,1,4,22,5,6,30,4,1,1,1,3
-0.238049,51.569573,2,1,3,0,3,7,30,4,1,1,1,3
-0.271484,51.597318,2,1,2,12,6,6,30,1,1,1,1,3
-0.207675,51.538359,3,1,2,15,5,6,30,1,1,2,1,3
-0.22592,51.566063,2,3,3,19,3,3,30,4,1,1,1,2
-0.219095,51.533947,2,1,3,13,5,6,30,1,1,1,1,3
-0.326855,51.563949,2,2,4,19,3,6,30,4,1,1,1,2
-0.205233,51.534455,2,1,3,9,4,6,30,1,1,1,1,3
0.065295,51.442591,3,1,7,3,3,6,30,4,2,2,1,2
0.023607,51.476143,2,1,4,7,3,3,50,1,1,2,1,2
0.039399,51.46211,1,1,7,13,5,6,30,1,1,1,1,3
0.107724,51.488959,1,1,7,2,6,6,30,4,1,1,1,2
0.072801,51.490751,2,2,1,4,3,3,40,4,1,1,1,3
0.015765,51.487699,2,1,3,16,3,3,50,4,2,2,1,3
0.034968,51.482241,1,1,4,10,5,6,30,1,1,1,1,3
0.097229,51.48627,1,1,4,21,3,6,30,4,1,2,1,3
0.054259,51.469225,2,1,4,19,6,6,30,4,1,1,1,3
0.026174,51.472321,2,1,5,16,3,3,50,4,1,1,1,3
0.04712,51.451274,2,1,6,7,6,3,30,1,1,1,1,3
0.118141,51.496146,1,1,7,15,6,6,30,1,1,1,1,3
0.051607,51.442202,2,1,7,12,6,6,30,1,1,1,1,3
0.02996,51.463533,2,1,3,7,3,3,50,1,1,2,1,3
0.024395,51.47442,2,1,5,10,3,1,30,1,1,1,1,3
0.102352,51.500567,1,1,1,10,3,6,30,1,1,1,1,2
0.017824,51.475613,2,1,2,9,4,6,30,1,1,2,1,3
0.009037,51.491951,4,1,7,20,6,6,30,4,1,1,1,3
0.0523,51.448035,2,1,2,18,3,1,30,4,2,2,1,3
0.029383,51.482967,2,1,7,12,6,6,20,1,1,1,1,3
0.028571,51.487388,2,1,6,6,3,6,30,4,1,2,1,2
-0.000064,51.471603,2,1,5,20,3,6,30,4,1,1,1,3
0.066841,51.492745,2,2,3,13,3,6,30,1,2,2,1,3
0.063075,51.444429,2,1,2,17,3,9,30,4,2,2,1,2
-0.010145,51.481487,2,1,7,11,3,2,30,1,1,1,1,3
0.050455,51.438985,3,1,3,9,3,3,40,1,1,2,1,3
0.022795,51.448009,1,1,4,18,3,6,30,4,1,1,1,3
0.085398,51.488999,2,1,2,0,6,6,30,4,1,1,1,3
0.064181,51.44342,2,1,4,13,3,6,30,1,1,1,1,3
0.063798,51.431736,2,5,5,23,4,6,30,4,1,2,1,2
0.151927,51.497689,1,1,5,7,3,3,50,1,1,1,2,2
0.079624,51.491889,1,1,4,21,6,1,30,4,1,1,1,3
0.034667,51.452839,1,1,6,21,3,6,30,4,1,1,1,3
0.035227,51.45247,2,2,1,2,3,3,40,4,8,2,1,3
0.084508,51.450525,3,1,1,10,3,6,30,1,1,2,1,3
0.080193,51.450601,2,2,3,14,3,6,30,1,1,1,1,3
0.069799,51.481721,2,1,7,18,6,6,30,4,2,2,1,3
0.037512,51.458545,2,1,6,9,3,3,50,1,1,1,1,3
0.05191,51.452179,2,1,6,10,3,6,30,1,1,1,1,3
0.072113,51.437435,2,1,5,22,5,6,30,4,1,1,1,3
0.032042,51.4715,2,3,4,17,6,6,30,4,1,1,1,3
0.009661,51.49302,2,1,4,15,3,1,30,1,1,1,1,3
0.060753,51.475945,1,1,7,23,6,6,30,4,2,2,1,2
0.049783,51.491426,2,1,2,15,6,6,30,1,1,1,1,3
0.063977,51.44846,2,2,6,14,5,6,30,1,2,2,1,3
0.038512,51.464823,1,1,4,21,6,6,30,4,1,1,1,3
0.058975,51.490815,1,1,7,13,6,6,30,1,1,1,1,3
0.033049,51.465008,3,1,4,19,5,6,30,4,2,2,1,3
0.051556,51.485999,2,1,3,18,4,6,30,4,1,2,1,3
0.024151,51.475414,2,1,6,17,3,3,50,4,2,2,1,3
0.021649,51.474198,2,1,6,13,3,6,30,1,2,2,1,3
0.002058,51.500344,1,2,7,3,3,3,50,4,2,2,1,3
0.088738,51.480126,2,1,2,14,5,6,30,1,1,1,1,3
0.023213,51.486761,3,1,2,15,3,6,30,1,1,1,1,3
0.077712,51.491024,1,1,2,8,3,3,30,1,8,1,1,3
0.030318,51.487807,2,1,3,7,3,6,30,1,1,1,1,3
0.066946,51.488696,1,1,3,17,3,6,30,4,8,2,1,3
0.03892,51.473989,2,1,3,16,3,6,30,4,2,2,1,3
0.052563,51.447491,1,1,3,9,3,6,30,1,1,1,1,3
0.106618,51.477468,2,1,4,13,3,6,30,1,1,1,1,3
0.060964,51.493388,3,1,4,14,3,1,30,1,1,1,1,3
-0.018143,51.473079,1,1,5,23,3,6,30,4,1,1,1,3
0.009059,51.472796,2,3,1,17,3,1,30,4,1,1,1,3
0.029512,51.466418,2,1,3,5,3,3,30,4,1,1,1,3
0.06593,51.482149,2,1,1,10,5,6,30,1,1,1,1,3
0.052548,51.479237,2,1,6,7,6,6,30,1,1,1,1,3
0.088413,51.488765,1,1,6,16,3,6,30,1,1,1,1,3
0.008598,51.491779,2,3,7,12,6,7,30,1,1,1,1,3
0.062798,51.447851,1,1,6,12,3,6,30,1,1,1,1,3
0.030005,51.448334,2,1,4,15,3,3,40,1,1,1,1,3
0.067595,51.490303,1,1,4,10,3,2,30,1,1,1,1,3
0.088125,51.488771,3,1,6,7,3,6,30,1,8,2,1,3
0.019074,51.47784,2,1,4,14,4,6,30,1,1,1,1,3
0.053175,51.429045,2,1,4,19,5,6,30,4,2,2,1,3
0.024911,51.453548,2,1,5,18,3,6,30,4,1,1,1,3
0.081594,51.490865,2,1,7,1,3,3,30,4,1,1,1,3
-0.006935,51.472529,1,1,6,15,3,6,30,1,1,1,1,3
0.109841,51.506727,1,1,6,17,3,1,30,5,1,1,1,2
-0.008422,51.481368,1,1,7,14,3,2,30,1,1,1,1,3
0.094519,51.486858,1,1,3,16,3,6,30,1,1,1,1,3
0.036389,51.452719,2,1,3,8,3,1,30,1,1,1,1,3
0.036221,51.452183,2,1,4,15,6,6,30,1,1,1,1,3
-0.007343,51.473076,2,1,4,17,6,6,30,4,1,1,1,3
0.045355,51.472977,1,1,4,19,3,6,30,4,1,1,1,3
0.011793,51.456382,1,1,5,13,3,6,30,1,1,2,1,3
0.030148,51.464519,2,1,5,9,3,3,50,1,1,1,1,3
0.048065,51.472391,2,2,5,6,3,6,30,4,2,2,1,2
0.103811,51.479047,2,1,6,13,3,6,30,1,2,2,1,3
0.111968,51.487264,2,1,6,20,4,6,30,4,2,2,1,2
0.063355,51.450629,2,1,1,18,3,6,30,4,2,2,1,3
0.113851,51.4875,2,1,1,18,4,6,30,4,2,2,1,3
0.018914,51.454641,2,1,3,19,3,6,30,4,1,1,1,3
0.016154,51.473663,2,1,3,19,4,6,30,4,1,1,1,3
0.089165,51.498914,2,1,6,17,6,1,30,1,1,1,1,3
0.054915,51.471012,2,1,7,17,3,6,30,4,1,2,1,2
0.032042,51.4715,2,1,1,11,6,6,30,1,1,1,1,3
-0.004407,51.484267,2,1,3,4,6,6,30,4,1,1,1,3
0.041907,51.45703,2,1,3,6,3,6,30,1,1,1,1,3
0.051825,51.450292,1,1,4,20,3,6,30,4,1,1,1,3
0.019108,51.485123,2,1,5,14,3,3,50,1,1,2,1,3
0.050149,51.432155,2,2,5,20,6,6,30,4,2,2,1,3
-0.013775,51.477501,2,1,5,20,3,6,30,4,2,2,1,3
0.05084,51.463619,1,1,6,18,3,6,30,4,2,2,1,2
0.079768,51.491887,2,2,1,11,6,1,30,1,1,1,1,2
0.014491,51.455526,2,1,2,17,3,6,30,4,3,2,1,2
0.018051,51.490537,2,1,2,13,3,1,30,1,1,2,1,3
0.004277,51.49509,2,1,2,6,3,3,30,1,1,2,1,3
0.0183,51.486396,2,1,2,14,3,1,30,1,1,2,1,2
0.09035,51.480727,2,1,3,20,5,6,30,4,1,2,1,3
0.121698,51.501387,3,2,5,19,3,1,30,1,2,2,2,3
0.036533,51.452717,2,1,5,17,3,1,30,1,1,1,1,3
0.061539,51.493378,2,3,5,6,3,1,30,1,1,1,1,3
0.075024,51.485766,1,1,6,12,6,6,20,1,1,1,1,3
-0.000408,51.483479,2,1,3,21,3,6,30,4,3,2,1,3
0.072661,51.490844,1,1,6,15,3,6,30,1,1,2,1,3
0.071011,51.438533,1,2,4,12,3,6,30,1,3,3,1,3
0.029648,51.462998,2,1,5,16,3,3,50,4,2,2,1,3
0.039222,51.454918,1,1,6,11,3,3,40,1,3,3,1,3
0.033409,51.456908,2,1,1,10,6,6,30,1,1,1,1,3
0.044033,51.456274,2,1,2,8,3,3,50,1,4,4,1,2
0.024791,51.473604,2,1,6,6,6,3,30,4,3,4,1,3
0.110227,51.493231,3,1,5,14,6,6,30,1,1,1,1,3
0.121196,51.493663,1,1,6,10,3,6,30,1,3,3,1,3
-0.014417,51.472656,2,2,6,21,3,6,30,4,1,1,1,3
0.032797,51.485246,2,1,7,16,5,6,30,1,2,2,1,3
0.083803,51.48561,2,1,1,14,6,6,30,1,1,1,1,3
0.064181,51.44342,4,1,5,13,3,6,30,1,2,2,1,3
0.039669,51.45527,2,1,2,14,3,6,30,1,1,1,1,3
0.052282,51.492551,1,1,3,19,3,3,30,4,1,1,1,3
0.042327,51.456753,2,1,4,18,3,7,30,4,1,1,1,3
0.013496,51.455813,2,1,5,18,3,6,30,4,1,1,1,3
